Account,date,net_pnl,gross_pnl,fees,volume_usd,n_fills,n_realized,n_liq,buy_frac,classification,value,class5,sentiment,won_day
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,356.44333500000005,360.32138,3.878045,40396.43,12,4,0,0.16666666666666666,Greed,71,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-03,-13.932028,-13.844579999999999,0.087448,330.51,7,3,0,0.42857142857142855,Neutral,48,Neutral,Neutral,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-05,0.898335,0.916,0.017665,82.3,2,1,0,0.5,Greed,69,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-07,-0.004568,0.0,0.004568,47.59,1,0,0,0.0,Greed,68,Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-08,1.5308940000000004,1.56576,0.034866,139.38,3,2,0,0.6666666666666666,Greed,64,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-23,-0.003549,0.0,0.003549,10.56,1,0,0,0.0,Extreme Greed,76,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-06-13,-1.40706,-1.40304,0.00402,11.97,1,1,0,1.0,Greed,70,Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-08,-0.023602,0.01574,0.039342,117.12,7,3,0,0.42857142857142855,Extreme Greed,79,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-09,2985.412144,3011.901456,26.489312,184234.77,108,103,0,0.3333333333333333,Extreme Greed,78,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-10,619.771868,622.666684,2.894816,30154.780000000002,45,44,0,0.08888888888888889,Extreme Greed,78,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-11,1541.650236,1567.4026840000001,25.752448,161572.27,23,11,0,0.5217391304347826,Greed,74,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-12,8549.164801,8599.974235,50.809434,303152.68,78,54,0,0.47435897435897434,Extreme Greed,83,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-14,-38.796082999999996,-33.03286,5.763223,60033.97,36,11,0,0.3055555555555556,Extreme Greed,83,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-15,125.47610900000001,126.32543000000001,0.849321,6576.3,14,13,0,0.07142857142857142,Extreme Greed,80,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-16,754.053381,758.93225,4.878869,50820.630000000005,10,8,0,0.5,Extreme Greed,83,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-17,3130.3618440799996,3146.7508239999997,16.38897992,158659.8,71,66,0,0.5633802816901409,Extreme Greed,87,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-18,12877.21460124,12965.380451,88.16584976,670952.74,316,294,0,0.43670886075949367,Extreme Greed,81,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-19,2283.321086,2316.721397,33.400311,176816.78,38,35,0,0.23684210526315788,Extreme Greed,75,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-20,3731.860851,3761.195421,29.33457,214000.24,211,197,0,0.9241706161137441,Greed,74,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-21,22.969353,24.404600000000002,1.435247,12857.89,8,4,0,0.5,Greed,73,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-23,650.988932,657.693565,6.704633,59343.64,51,50,0,0.9803921568627451,Greed,70,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-01,432.730962,443.27225999999996,10.541298000000001,52131.06,16,15,0,0.9375,Greed,66,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-02,2971.993946,2986.68606,14.692114,152986.62,37,35,0,0.05405405405405406,Greed,70,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-07,14817.565615,14917.068001,99.502386,859860.54,281,266,0,0.8754448398576512,Extreme Greed,78,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-13,3999.963934,4049.4100789999998,49.446145,259392.38,59,51,0,0.11864406779661017,Greed,61,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-18,-3278.530751,-3249.381438,29.149313,255051.3,33,23,0,0.696969696969697,Extreme Greed,77,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-19,4156.847578,4202.837822,45.990244,334666.35,215,208,0,0.04186046511627907,Extreme Greed,77,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-20,11949.074043,12007.503845,58.429801999999995,348775.08,194,187,0,0.9329896907216495,Extreme Greed,76,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-22,536.148554,548.62199,12.473436,80548.71,35,34,0,0.02857142857142857,Extreme Greed,84,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-23,3519.6145260000003,3540.716915,21.102389,175718.74,137,129,0,0.38686131386861317,Extreme Greed,75,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-27,2545.53484,2582.715893,37.181053,253685.34,128,122,0,0.7734375,Greed,71,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-28,1175.546762,1195.713905,20.167143,169093.39,73,62,0,0.1506849315068493,Greed,72,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-30,10702.890535999999,10768.027968,65.137432,535615.05,214,187,0,0.3691588785046729,Greed,70,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-31,4536.411646,4595.351505,58.939859,272164.98,111,85,0,0.7657657657657657,Extreme Greed,76,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-01,5454.494376000001,5511.424436,56.93006,473730.98,129,105,0,0.8062015503875969,Greed,68,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-03,16788.100524,16968.49732,180.396796,1154252.95,427,404,0,0.2388758782201405,Fear,44,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-05,-35.834528,-27.869977999999996,7.96455,52700.56,30,21,0,0.3,Neutral,54,Neutral,Neutral,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-06,1994.485783,2097.999778,103.513995,361566.95,67,31,0,0.582089552238806,Neutral,49,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-07,2859.746643,2883.921829,24.175186,214790.05,56,52,0,0.07142857142857142,Fear,44,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-08,615.587497,627.556755,11.969258,108650.81999999999,71,66,0,0.9295774647887324,Fear,44,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-09,300.121509,302.036247,1.914738,19945.120000000003,3,2,0,0.3333333333333333,Neutral,46,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-10,669.371612,688.638221,19.266609,133618.61,55,33,0,0.41818181818181815,Fear,43,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-11,1049.97713,1053.5230999999999,3.54597,36934.96,5,3,0,0.4,Neutral,47,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-12,-20402.446113,-20339.209354,63.236759,410043.44,144,125,0,0.3888888888888889,Neutral,46,Neutral,Neutral,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-13,416.337352,425.72912,9.391768,67572.36,75,59,0,0.7866666666666666,Neutral,50,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-15,446.000698,462.740727,16.740029,108503.92,28,19,0,0.32142857142857145,Neutral,50,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-16,14.175778999999999,14.54605,0.370271,1706.16,5,1,0,0.8,Neutral,54,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-17,753.0062410000002,775.366489,22.360248,153551.02,62,60,0,0.03225806451612903,Neutral,51,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-18,2558.004298,2594.432862,36.428564,210337.74,92,86,0,0.3804347826086957,Neutral,47,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,494.3499970000001,546.706121,52.356124,317259.63,206,195,0,0.9271844660194175,Fear,44,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-20,1674.7721920000001,1693.832154,19.059962,134508.09,61,59,0,0.7540983606557377,Neutral,49,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-21,3515.226172,3575.8235369999998,60.597365,389026.6,239,195,0,0.27615062761506276,Greed,55,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-22,624.3286720000002,659.629647,35.300975,362082.25,131,73,0,0.4580152671755725,Neutral,49,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-23,911.833371,923.755078,11.921707,92909.14,64,62,0,0.03125,Neutral,50,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-24,3313.433696,3335.840449,22.406753000000002,163370.54,63,61,0,0.031746031746031744,Neutral,49,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-25,4093.727301,4130.045672,36.318371,221997.83,75,72,0,0.96,Fear,25,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-26,1436.881085,1459.7767720000002,22.895687,146569.24,27,24,0,0.8888888888888888,Extreme Fear,21,Extreme Fear,Fear,True
